id_cant,nombre_canton
1701,QUITO
1308,MANTA
0806,ATACAMES
1208,VINCES
1305,FLAVIO ALFARO
1801,AMBATO
0101,CUENCA
0805,SAN LORENZO
0706,EL GUABO
1404,PALORA
1201,BABAHOYO
2403,SALINAS
1205,QUEVEDO
0901,GUAYAQUIL
0801,ESMERALDAS
2302,LA CONCORDIA
1317,PEDERNALES
0803,MUISNE
9004,EL PIEDRERO
0709,PASAJE
0712,SANTA ROSA
1310,PAJAN
2301,SANTO DOMINGO
1101,LOJA
1209,PALENQUE
0804,QUININDE
0910,MILAGRO
1902,CHINCHIPE
0503,PANGUA
1102,CALVAS
1808,SANTIAGO DE PILLARO
2401,SANTA ELENA
1207,VENTANAS
0203,CHIMBO
1212,MOCACHE
2201,ORELLANA
2204,LORETO
9001,LAS GOLONDRINAS
1705,RUMIÑAHUI
0607,GUANO
1703,MEJIA
1302,BOLIVAR
1306,JIPIJAPA
0912,NARANJITO
1210,BUENA FE
1901,ZAMORA
0105,PAUTE
0502,LA MANA
0201,GUARANDA
2203,LA JOYA DE LOS SACHAS
0504,PUJILI
1316,24 DE MAYO
0914,PEDRO CARBO
1206,URDANETA
0505,SALCEDO
1301,PORTOVIEJO
1211,VALENCIA
1601,PASTAZA
1107,GONZANAMA
0908,EMPALME
0601,RIOBAMBA
0916,SAMBORONDON
1401,MORONA
1204,PUEBLOVIEJO
0907,DURAN
1906,EL PANGUI
0802,ELOY ALFARO
1004,OTAVALO
0501,LATACUNGA
1909,PAQUISHA
0401,TULCAN
1303,CHONE
1702,CAYAMBE
1312,ROCAFUERTE
1104,CELICA
1403,LIMON INDANZA
1111,SARAGURO
0205,SAN MIGUEL
0701,MACHALA
1003,COTACACHI
0906,DAULE
1709,PUERTO QUITO
0506,SAQUISILI
1309,MONTECRISTI
1116,OLMEDO
0911,NARANJAL
1805,PATATE
1602,MERA
1315,TOSAGUA
0921,PLAYAS
1501,TENA
0807,RIOVERDE
1307,JUNIN
0507,SIGCHOS
1314,SUCRE
0304,LA TRONCAL
1304,EL CARMEN
0103,GUALACEO
1105,CHAGUARPAMBA
1908,PALANDA
0302,BIBLIAN
0922,SIMON BOLIVAR
1402,GUALAQUIZA
1002,ANTONIO ANTE
1001,IBARRA
2402,LA LIBERTAD
0303,CAÑAR
2101,LAGO AGRIO
0704,BALSAS
1903,NANGARITZA
0707,HUAQUILLAS
0708,MARCABELI
0404,MIRA
1405,SANTIAGO
1106,ESPINDOLA
0920,SAN JACINTO DE YAGUACHI
1905,YANTZAZA
1103,CATAMAYO
1202,BABA
0919,SALITRE
1507,QUIJOS
1807,SAN PEDRO DE PELILEO
1320,JAMA
2104,SHUSHUFINDI
0605,CHUNCHI
1322,SAN VICENTE
1203,MONTALVO
1110,PUYANGO
1319,PUERTO LOPEZ
1802,BAÑOS DE AGUA SANTA
1313,SANTA ANA
1109,PALTAS
1708,PEDRO VICENTE MALDONADO
9003,MANGA DEL CURA
1213,QUINSALOMA
1704,PEDRO MONCAYO
0109,SIGSIG
1311,PICHINCHA
1108,MACARA
0108,SANTA ISABEL
1503,ARCHIDONA
0305,EL TAMBO
0405,MONTUFAR
2002,ISABELA
0918,SANTA LUCIA
0927,GNRAL. ANTONIO ELIZALDE
1406,SUCUA
0206,CALUMA
0923,CRNEL. MARCELINO MARIDUEÑA
0904,BALZAR
0301,AZOGUES
2001,SAN CRISTOBAL
0713,ZARUMA
0610,CUMANDA
0602,ALAUSI
0710,PIÑAS
2003,SANTA CRUZ
2105,SUCUMBIOS
1113,ZAPOTILLO
1707,SAN MIGUEL DE LOS BANCOS
0306,DELEG
1603,SANTA CLARA
0207,LAS NAVES
1806,QUERO
0104,Nabón
0106,Pucará
0107,San Fernando
0114,Guachapala
0115,Camilo Ponce Enríquez
0202,Chillanes
0204,Echeandia
0000,El Piedrero - Las Golondrinas - Manga del Cura
0402,Bolívar
0403,Espejo
0406,San Pedro de Huaca
0603,Colta
0606,Guamote
0608,Pallatanga
0609,Penipe
0702,Arenillas
0703,Atahualpa
0711,Portovelo
0902,Alfredo Baquerizo Moreno
0903,Balao
0905,Colimes
0924,Lomas de Sargentillo
0909,El Triunfo
0925,Nobol
0928,Isidro Ayora
1114,Pindal
1115,Quilanga
1318,Olmedo
1407,Huamboya
1409,Taisha
1410,Logroño
1411,Pablo Sexto
1412,Tiwintza
1504,El Chaco
1604,Arajuno
1803,Cevallos
1809,Tisaleo
1904,Yacuambi
1907,Centinela del Cóndor
2103,Putumayo
2106,Cascales
2107,Cuyabeno
2102,Gonzalo Pizarro
2202,Aguarico
0102,Girón
0111,Chordeleg
0113,Sevilla de Oro
1006,San Miguel de Urcuquí
0307,Suscal
1005,Pimampiro
0604,Chambo
0913,Palestina
1112,Sozoranga
1408,San Juan Bosco
0714,Sucúa
1509,Carlos Julio Arosemena Tola
1804,Mocha
0110,OÑA
1321,JARAMIJO
